Neuron1Id,Neuron2,Neuron2type,Neuron2Id,Weight,Neuron2Pre,Neuron2Post,WeightHP
911470352,PFGs(PB10)_R3_C7,PFGs,5813048755,1,458,2264,1
911470352,,,5813016122,1,1,0,1
911470352,,,1252573641,1,1,0,0
911470352,,,1283600055,1,107,160,0
911470352,,,1252906450,1,1,2,0
911470352,,,1220843688,1,1,0,1
911470352,EPG(PB08)_L8,EPG,1168664495,1,468,3858,0
911470352,EPGt(PB09)_R9,EPGt,1168659995,1,154,611,0
911470352,,,1159473974,1,1,2,0
911470352,,,1159434684,1,1,0,1
911470352,,,1158364546,1,1,0,1
911470352,,,1158363779,1,1,0,1
911470352,,,1159137016,1,1,2,0
911470352,,,1159102048,1,1,0,1
911470352,,,1157349290,1,1,0,0
911470352,,,1128745260,1,1,0,0
911470352,,,1128092781,1,1,1,0
911470352,,,1128059031,1,1,0,1
911470352,,,1128010824,1,1,0,0
911470352,,,1126988388,1,1,0,1
911470352,,,1126642466,1,1,7,0
911470352,EPG(PB08)_R8,EPG,1125964814,1,352,3046,0
911470352,,,1097749349,1,1,0,1
911470352,,,1097468228,1,1,1,1
911470352,,,1097356691,1,1,0,1
911470352,,,1097351951,1,1,0,1
911470352,,,1097027758,1,1,0,0
911470352,PFR_b(PB11b)_R3_C7,PFR_b,1102191192,1,98,1630,1
911470352,PFR_b(PB11b)_R5_C4,PFR_b,1073504644,1,271,2215,1
911470352,PFR_b(PB11b)_L3_C4,PFR_b,1070439674,1,315,1855,1
911470352,,,1065600678,1,1,0,0
911470352,,,1098392307,1,1,0,0
911470352,,,1098392173,1,1,0,1
911470352,,,1067426390,1,1,0,1
911470352,PFR_b(PB11b)_R7_C2,PFR_b,1064577636,1,222,1928,1
911470352,,,1067081331,1,1,0,1
911470352,,,1067081058,1,1,0,1
911470352,,,1067012084,1,1,0,1
911470352,IbSpsP(PB17)_L8,IbSpsP,1066748608,1,193,499,0
911470352,,,1066675356,1,1,0,0
911470352,,,1066385560,1,1,0,1
911470352,,,1066334876,1,1,0,0
911470352,,,1066321693,1,1,0,0
911470352,,,1066088549,1,1,0,1
911470352,,,1066083381,1,1,0,0
911470352,,,1036041678,1,1,0,1
911470352,,,1036041430,1,1,0,1
911470352,,,1035964757,1,1,0,0
911470352,,,1035692508,1,1,0,1
911470352,IbSpsP(PB17)_R2/3,IbSpsP,1035640810,1,201,782,1
911470352,,,1035640463,1,1,0,1
911470352,,,1034946100,1,1,0,1
911470352,,,1034901696,1,1,0,0
911470352,,,1036395827,1,1,0,1
911470352,,,1003530894,1,1,0,0
911470352,,,1005007520,1,1,0,0
911470352,,,1005347907,1,1,0,1
911470352,PFR_b(PB11b)_R3_C6,PFR_b,1005261469,1,222,2356,0
911470352,,,1004247549,1,1,1,1
911470352,P6-8P9(PB14)_L,P6-8P9,1004018344,1,92,436,1
911470352,,,973997479,1,1,2,0
911470352,,,973980167,1,1,0,1
911470352,IbSpsP(PB17)_L3/4,IbSpsP,973963898,1,163,527,0
911470352,,,942604283,1,1,1,0
911470352,,,942514347,1,1,1,0
